average_rating,year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
6.5,2017,30Q141,I.S. 141 The Steinway,98%,88%,89%,95%,90%,94%,96%,95%,95%,92%,93%,92%,95%,94%,95%,95%,94%,94%,80%
8.0,2017,24Q143,P.S. 143 Louis Armstrong,30%,92%,95%,98%,93%,97%,98%,96%,96%,97%,96%,94%,96%,95%,97%,94%,97%,97%,87%
7.181818181818182,2017,28Q144,P.S. 144 Col Jeromus Remsen,80%,92%,92%,97%,95%,97%,96%,97%,96%,96%,95%,93%,96%,96%,97%,97%,96%,95%,91%
7.333333333333333,2017,30Q145,I.S. 145 Joseph Pulitzer,88%,87%,88%,96%,91%,95%,95%,93%,93%,93%,92%,94%,94%,93%,96%,94%,96%,95%,83%
7.473684210526316,2017,27Q146,P.S. 146 Howard Beach,76%,85%,87%,95%,89%,94%,89%,87%,86%,93%,86%,89%,88%,86%,88%,92%,90%,91%,92%
8.0,2017,30Q150,P.S. 150 Queens,47%,88%,93%,96%,88%,92%,85%,84%,83%,94%,87%,88%,87%,87%,94%,90%,95%,95%,93%
7.5,2017,30Q151,P.S. 151 Mary D. Carter,43%,93%,94%,100%,94%,99%,97%,97%,96%,97%,94%,95%,97%,95%,95%,96%,95%,95%,90%
7.4,2017,30Q152,P.S. 152 Gwendoline N. Alleyne School,42%,93%,97%,99%,95%,98%,97%,96%,96%,97%,95%,95%,95%,97%,97%,97%,97%,96%,92%
8.0,2017,24Q153,P.S. 153 Maspeth Elem,73%,93%,93%,97%,94%,96%,97%,97%,97%,96%,94%,94%,96%,96%,97%,94%,96%,96%,89%
8.5,2017,25Q154,P.S. 154 Queens,62%,96%,97%,98%,96%,97%,97%,97%,97%,96%,95%,94%,97%,97%,97%,98%,97%,98%,93%
6.727272727272728,2017,27Q155,P.S. 155,75%,92%,93%,97%,94%,97%,96%,97%,96%,97%,95%,93%,96%,95%,99%,98%,96%,98%,91%
7.555555555555555,2017,29Q156,P.S. 156 Laurelton,66%,91%,93%,99%,92%,95%,96%,94%,96%,96%,93%,92%,98%,97%,98%,93%,92%,95%,87%
8.0,2017,28Q157,J.H.S. 157 Stephen A. Halsey,49%,82%,87%,96%,89%,95%,96%,96%,95%,94%,94%,90%,95%,93%,96%,96%,96%,97%,82%
7.352941176470588,2017,26Q158,M.S. 158 Marie Curie,49%,79%,77%,94%,85%,91%,94%,93%,91%,90%,92%,88%,92%,89%,95%,93%,92%,91%,75%
7.25,2017,26Q159,P.S. 159,73%,96%,96%,98%,97%,96%,96%,95%,96%,98%,96%,96%,97%,97%,99%,97%,97%,98%,91%
6.555555555555555,2017,28Q160,P.S. 160 Walter Francis Bishop,29%,91%,93%,100%,93%,99%,97%,95%,96%,98%,97%,95%,96%,97%,96%,96%,95%,98%,97%
6.0,2017,28Q161,P.S. 161 Arthur Ashe School,74%,94%,95%,97%,96%,96%,97%,97%,97%,97%,98%,97%,98%,98%,99%,98%,99%,99%,93%
7.769230769230769,2017,26Q162,P.S. 162 John Golden,45%,91%,94%,97%,94%,95%,93%,91%,93%,97%,95%,92%,95%,93%,97%,96%,95%,97%,90%
6.0,2017,25Q163,P.S. 163 Flushing Heights,71%,98%,98%,100%,98%,98%,97%,94%,95%,99%,96%,98%,97%,98%,99%,98%,95%,98%,92%
8.166666666666666,2017,25Q164,P.S. 164 Queens Valley,72%,94%,94%,98%,96%,98%,98%,97%,98%,96%,96%,92%,98%,96%,97%,97%,97%,97%,87%
7.666666666666667,2017,25Q165,P.S. 165 Edith K. Bergtraum,79%,95%,97%,98%,97%,98%,98%,97%,96%,99%,96%,96%,98%,98%,98%,97%,96%,97%,93%
9.0,2017,30Q166,P.S. 166 Henry Gradstein,36%,92%,93%,96%,94%,96%,95%,94%,95%,96%,95%,94%,95%,96%,97%,96%,95%,96%,92%
7.466666666666667,2017,28Q167,Metropolitan Expeditionary Learning School,57%,92%,92%,98%,97%,99%,98%,98%,99%,98%,97%,96%,99%,97%,99%,98%,98%,98%,91%
8.0,2017,25Q169,P.S. 169 Bay Terrace,65%,98%,99%,99%,98%,98%,94%,95%,94%,99%,95%,94%,96%,96%,98%,99%,97%,99%,94%
7.380952380952381,2017,84Q170,Peninsula Preparatory Academy Charter School,100%,95%,95%,98%,94%,94%,94%,94%,94%,97%,95%,95%,96%,97%,97%,96%,95%,96%,92%
7.666666666666667,2017,30Q171,P.S. 171 Peter G. Van Alst,41%,94%,95%,99%,97%,97%,98%,99%,98%,96%,97%,96%,96%,96%,95%,98%,95%,93%,92%
8.25,2017,26Q172,Irwin Altman Middle School 172,51%,83%,84%,94%,88%,96%,93%,94%,93%,93%,91%,87%,94%,93%,95%,95%,92%,91%,85%
7.5,2017,28Q174,P.S. 174 William Sidney Mount,45%,92%,94%,98%,92%,93%,88%,91%,89%,96%,92%,89%,89%,90%,97%,92%,90%,94%,93%
8.0,2017,28Q175,P.S. 175 The Lynn Gross Discovery School,65%,94%,94%,98%,95%,98%,97%,96%,97%,97%,98%,96%,96%,97%,98%,96%,97%,97%,93%
9.0,2017,75Q177,P.S. Q177,42%,94%,96%,98%,96%,95%,97%,97%,97%,97%,97%,98%,98%,97%,97%,98%,97%,98%,91%
8.0,2017,29Q181,P.S. 181 Brookfield,56%,90%,95%,97%,93%,96%,92%,91%,90%,94%,92%,93%,90%,93%,98%,94%,93%,94%,92%
7.333333333333333,2017,28Q182,P.S. 182 Samantha Smith,65%,95%,94%,96%,93%,95%,95%,94%,94%,97%,94%,95%,95%,93%,97%,95%,94%,95%,88%
7.5,2017,27Q183,P.S. 183 Dr. Richard R. Green,23%,90%,91%,95%,92%,97%,91%,88%,86%,92%,87%,93%,91%,91%,86%,93%,87%,92%,90%
9.0,2017,25Q184,P.S. 184 Flushing Manor,88%,96%,97%,99%,98%,99%,99%,99%,99%,99%,99%,97%,99%,98%,99%,100%,98%,99%,92%
7.0,2017,25Q185,J.H.S. 185 Edward Bleeker,64%,90%,90%,97%,95%,96%,98%,98%,98%,96%,96%,94%,97%,97%,98%,96%,96%,97%,79%
8.571428571428571,2017,26Q186,P.S. 186 Castlewood,66%,91%,93%,96%,95%,96%,93%,93%,92%,96%,92%,94%,94%,94%,98%,96%,94%,97%,90%
8.666666666666666,2017,26Q188,P.S. 188 Kingsbury,57%,95%,94%,98%,96%,96%,95%,94%,93%,95%,97%,95%,93%,95%,98%,97%,95%,95%,95%
8.2,2017,25Q189,J.H.S. 189 Daniel Carter Beard,66%,85%,85%,95%,88%,93%,91%,91%,91%,95%,87%,91%,93%,91%,94%,93%,95%,96%,70%
7.333333333333333,2017,28Q190,J.H.S. 190 Russell Sage,52%,79%,75%,94%,83%,92%,93%,91%,91%,92%,88%,86%,92%,90%,93%,89%,93%,91%,80%
7.0,2017,26Q191,P.S. 191 Mayflower,64%,95%,95%,98%,96%,99%,97%,96%,96%,98%,96%,97%,97%,97%,100%,98%,97%,97%,96%
6.5,2017,29Q192,I.S. 192 The Linden,45%,87%,89%,95%,92%,95%,97%,93%,95%,96%,93%,94%,96%,96%,95%,95%,92%,94%,91%
8.0,2017,25Q193,P.S. 193 Alfred J. Kennedy,74%,91%,92%,95%,92%,94%,93%,94%,93%,93%,93%,94%,95%,94%,94%,97%,97%,96%,92%
8.5,2017,25Q194,J.H.S. 194 William Carr,41%,84%,87%,97%,92%,96%,98%,97%,98%,95%,96%,93%,95%,96%,97%,96%,95%,96%,84%
7.0,2017,29Q195,P.S. 195 William Haberle,88%,99%,97%,97%,99%,100%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,97%,98%
7.875,2017,28Q196,P.S. 196 Grand Central Parkway,82%,95%,94%,98%,95%,98%,97%,97%,97%,97%,97%,95%,97%,98%,98%,97%,96%,96%,94%
7.538461538461538,2017,27Q197,P.S. 197 The Ocean School,46%,93%,92%,97%,91%,95%,93%,92%,91%,93%,90%,91%,92%,94%,92%,92%,92%,95%,95%
7.25,2017,24Q199,P.S. 199 Maurice A. Fitzgerald,62%,93%,95%,98%,96%,98%,98%,98%,98%,97%,97%,95%,98%,98%,99%,96%,97%,97%,88%
7.684210526315789,2017,27Q202,J.H.S. 202 Robert H. Goddard,86%,86%,89%,97%,91%,95%,97%,94%,95%,94%,93%,93%,96%,95%,92%,96%,97%,96%,83%
7.6,2017,26Q203,P.S. 203 Oakland Gardens,68%,94%,93%,98%,95%,97%,95%,92%,91%,97%,94%,95%,93%,94%,98%,97%,93%,95%,94%
9.0,2017,30Q204,I.S. 204 Oliver W. Holmes,44%,86%,88%,96%,94%,94%,94%,93%,94%,90%,91%,89%,92%,91%,92%,95%,95%,96%,82%
8.166666666666666,2017,26Q205,P.S. 205 Alexander Graham Bell,74%,92%,94%,96%,95%,99%,93%,91%,96%,97%,96%,95%,96%,95%,99%,97%,93%,96%,91%
7.666666666666667,2017,28Q206,P.S. 206 The Horace Harding School,53%,94%,93%,98%,93%,97%,97%,97%,95%,96%,95%,95%,98%,99%,99%,97%,92%,97%,88%
7.2,2017,27Q207,P.S. 207 Rockwood Park,85%,88%,89%,95%,89%,95%,92%,92%,91%,92%,93%,90%,91%,89%,96%,94%,95%,94%,93%
8.615384615384615,2017,29Q208,P.S./I.S. 208,79%,92%,93%,97%,92%,96%,93%,93%,92%,97%,94%,94%,94%,93%,97%,93%,94%,95%,93%
9.0,2017,25Q209,P.S. 209 Clearview Gardens,100%,93%,94%,97%,92%,96%,94%,94%,94%,97%,92%,95%,95%,95%,96%,95%,94%,96%,89%
7.0,2017,27Q210,J.H.S. 210 Elizabeth Blackwell,28%,79%,85%,96%,86%,90%,91%,90%,88%,94%,87%,88%,90%,91%,90%,91%,92%,94%,79%
7.0,2017,24Q211,Elm Tree Elementary School,77%,96%,97%,98%,97%,98%,98%,100%,98%,99%,98%,97%,99%,98%,99%,99%,99%,99%,88%
7.333333333333333,2017,12X212,P.S. 212,57%,79%,87%,96%,86%,93%,90%,90%,86%,89%,85%,90%,90%,89%,94%,87%,92%,95%,89%
7.333333333333333,2017,30Q212,P.S. 212,90%,96%,96%,98%,96%,98%,96%,97%,96%,96%,95%,96%,97%,97%,99%,97%,96%,97%,91%
8.31578947368421,2017,26Q213,P.S. 213 The Carl Ullman School,58%,95%,95%,97%,97%,97%,97%,97%,98%,98%,98%,96%,98%,98%,98%,99%,98%,98%,91%
7.8,2017,25Q214,P.S. 214 Cadwallader Colden,59%,95%,95%,97%,95%,97%,96%,97%,95%,98%,97%,96%,93%,96%,98%,96%,96%,96%,93%
9.0,2017,26Q216,J.H.S. 216 George J. Ryan,40%,89%,87%,97%,92%,95%,95%,93%,94%,95%,93%,91%,93%,93%,97%,95%,96%,95%,87%
7.5,2017,28Q217,J.H.S. 217 Robert A. Van Wyck,62%,89%,90%,96%,92%,96%,96%,95%,95%,94%,95%,92%,97%,96%,95%,93%,95%,97%,77%
6.0,2017,25Q219,P.S. 219 Paul Klapper,45%,97%,97%,99%,97%,95%,95%,95%,96%,97%,95%,96%,95%,98%,98%,99%,98%,98%,89%
8.0,2017,28Q220,P.S. 220 Edward Mandel,61%,96%,97%,98%,98%,98%,98%,98%,97%,97%,97%,95%,96%,97%,98%,98%,96%,96%,90%
7.857142857142857,2017,26Q221,P.S. 221 The North Hills School,73%,94%,94%,96%,96%,96%,95%,96%,97%,96%,95%,96%,97%,96%,97%,97%,97%,97%,94%
7.4,2017,27Q223,P.S. 223 Lyndon B. Johnson,83%,91%,94%,96%,92%,94%,94%,91%,90%,94%,89%,93%,92%,93%,94%,95%,94%,97%,91%
8.571428571428571,2017,75Q224,P.S. Q224,46%,95%,97%,98%,97%,98%,98%,97%,98%,98%,97%,97%,97%,96%,98%,97%,98%,98%,90%
6.75,2017,27Q226,J.H.S. 226 Virgil I. Grissom,59%,85%,85%,95%,91%,93%,92%,92%,90%,93%,91%,89%,90%,91%,91%,92%,93%,91%,84%
8.0,2017,24Q229,P.S. 229 Emanuel Kaplan,66%,93%,94%,98%,95%,95%,97%,97%,96%,97%,96%,95%,96%,97%,98%,97%,96%,97%,88%
7.75,2017,30Q230,I.S. 230,48%,87%,89%,96%,91%,95%,97%,96%,96%,94%,94%,92%,96%,95%,96%,95%,96%,95%,83%
7.714285714285714,2017,27Q232,P.S. 232 Lindenwood,87%,91%,92%,97%,94%,96%,95%,94%,94%,95%,94%,93%,95%,93%,97%,97%,96%,97%,92%
7.466666666666667,2017,75Q233,P.S. Q233,30%,94%,95%,98%,95%,96%,96%,97%,95%,94%,95%,95%,96%,96%,97%,97%,95%,96%,88%
7.666666666666667,2017,30Q234,P.S. 234,71%,91%,93%,97%,95%,97%,96%,96%,95%,97%,96%,94%,97%,95%,98%,96%,94%,96%,92%
8.2,2017,25Q237,I.S. 237,76%,85%,87%,96%,90%,93%,94%,93%,91%,94%,90%,90%,94%,92%,92%,94%,93%,96%,73%
6.588235294117647,2017,29Q238,I.S. 238 - Susan B. Anthony Academy,29%,82%,79%,95%,87%,95%,97%,96%,94%,91%,95%,87%,94%,94%,92%,94%,90%,90%,87%
8.0,2017,24Q239,P.S. 239,53%,94%,95%,98%,92%,97%,94%,93%,96%,96%,92%,95%,95%,95%,97%,96%,97%,98%,88%
8.0,2017,25Q240,Veritas Academy,37%,85%,88%,98%,91%,94%,93%,92%,93%,95%,92%,91%,95%,92%,92%,97%,92%,96%,83%
8.8,2017,25Q244,The Active Learning Elementary School,78%,98%,97%,99%,99%,98%,98%,98%,97%,99%,99%,97%,97%,99%,99%,99%,99%,99%,95%
8.0,2017,29Q248,Queens Preparatory Academy,20%,93%,86%,94%,87%,90%,88%,86%,86%,92%,89%,92%,87%,85%,90%,92%,85%,89%,87%
8.333333333333334,2017,29Q251,P.S. 251 Queens,44%,92%,90%,97%,90%,96%,93%,90%,89%,96%,90%,90%,90%,91%,97%,92%,90%,94%,93%
8.222222222222221,2017,21K253,P.S. 253,99%,97%,97%,98%,98%,97%,97%,97%,98%,98%,98%,98%,98%,97%,99%,98%,98%,98%,91%
8.222222222222221,2017,27Q253,P.S. 253,70%,89%,91%,93%,91%,93%,93%,90%,89%,92%,91%,91%,92%,92%,93%,94%,95%,95%,86%
7.9,2017,27Q254,P.S. 254 - The Rosa Parks School,69%,95%,97%,99%,97%,98%,98%,98%,98%,98%,97%,96%,97%,97%,98%,96%,98%,99%,92%
8.5,2017,75Q255,P.S. Q255,46%,94%,96%,96%,95%,95%,97%,95%,94%,98%,94%,96%,97%,97%,97%,96%,96%,97%,92%
9.0,2017,30Q258,Energy Tech High School,53%,93%,94%,99%,96%,98%,98%,95%,95%,95%,96%,95%,96%,95%,95%,97%,97%,96%,83%
7.5,2017,27Q261,Voyages Prep - South Queens,4%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,78%
8.2,2017,25Q263,Flushing International High School,75%,92%,95%,98%,97%,98%,98%,97%,96%,97%,97%,96%,97%,98%,97%,95%,94%,96%,78%
8.0,2017,29Q265,Excelsior Preparatory High School,13%,93%,93%,96%,90%,97%,98%,97%,97%,93%,91%,95%,96%,96%,95%,100%,98%,96%,85%
8.571428571428571,2017,26Q266,P.S./I.S. 266,63%,94%,96%,97%,94%,96%,97%,97%,96%,97%,94%,94%,97%,95%,97%,97%,97%,97%,91%
6.636363636363637,2017,29Q268,P.S./I.S. 268,56%,93%,93%,98%,95%,97%,95%,95%,93%,97%,94%,93%,95%,95%,96%,97%,97%,97%,94%
7.6,2017,29Q270,The Gordon Parks School,50%,85%,89%,97%,88%,97%,94%,90%,89%,90%,91%,88%,91%,93%,95%,92%,86%,91%,97%
8.0,2017,27Q273,P.S. 273,78%,96%,95%,97%,96%,97%,97%,98%,96%,95%,95%,94%,95%,96%,96%,96%,97%,98%,88%
7.25,2017,75Q277,The Riverview School,51%,95%,94%,97%,96%,94%,94%,93%,93%,96%,97%,95%,95%,96%,97%,96%,94%,97%,94%
8.0,2017,30Q280,P.S. 280,75%,93%,97%,99%,98%,98%,99%,98%,98%,98%,98%,97%,97%,98%,98%,97%,98%,97%,92%
7.1,2017,28Q284,York Early College Academy,100%,92%,93%,97%,95%,98%,97%,96%,96%,97%,95%,95%,96%,96%,96%,97%,97%,97%,83%
7.1,2017,28Q287,The Emerson School,35%,89%,86%,94%,90%,93%,92%,92%,88%,92%,92%,90%,89%,90%,87%,93%,92%,92%,81%
7.555555555555555,2017,29Q289,Queens United Middle School,43%,90%,88%,96%,91%,95%,96%,91%,90%,91%,92%,88%,92%,90%,83%,91%,92%,92%,90%
8.357142857142858,2017,30Q291,Hunters Point Community Middle School,45%,93%,94%,99%,96%,96%,96%,96%,95%,96%,97%,94%,98%,96%,97%,98%,96%,97%,93%
7.0,2017,24Q293,Civic Leadership Academy,76%,88%,86%,96%,91%,95%,94%,94%,93%,93%,91%,90%,94%,94%,95%,97%,97%,96%,78%
6.866666666666666,2017,29Q295,P.S./I.S. 295,98%,86%,90%,96%,91%,95%,88%,86%,89%,94%,84%,91%,88%,89%,97%,94%,92%,93%,85%
7.0,2017,24Q296,Pan American International High School,67%,96%,94%,98%,97%,97%,97%,97%,96%,97%,97%,97%,98%,98%,97%,98%,98%,99%,89%
6.75,2017,27Q297,Hawtree Creek Middle School,96%,98%,98%,99%,99%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,99%,100%,100%,97%
7.3,2017,84Q298,Middle Village Prep Charter School,34%,92%,93%,96%,94%,94%,94%,93%,92%,95%,96%,94%,95%,92%,97%,97%,97%,97%,100%
6.714285714285714,2017,24Q299,Bard High School Early College Queens,44%,88%,91%,98%,96%,98%,98%,97%,98%,95%,98%,92%,96%,96%,98%,97%,97%,98%,88%
7.5,2017,24Q307,Pioneer Academy,99%,91%,92%,96%,94%,95%,94%,93%,95%,94%,93%,94%,94%,95%,96%,92%,94%,95%,84%
7.5,2017,28Q310,Queens Collegiate: A College Board School,20%,79%,84%,97%,93%,96%,97%,96%,94%,94%,94%,91%,96%,97%,95%,94%,93%,96%,84%
6.75,2017,27Q314,Epic High School - South,8%,76%,83%,94%,94%,89%,89%,94%,94%,87%,94%,88%,94%,100%,87%,94%,83%,82%,94%
8.181818181818182,2017,26Q315,Business Technology Early College High School,58%,79%,81%,95%,89%,97%,91%,88%,87%,91%,93%,90%,96%,89%,89%,95%,92%,93%,87%
7.8,2017,27Q316,Queens Explorers Elementary School,100%,98%,98%,98%,98%,98%,98%,98%,97%,97%,98%,97%,98%,98%,98%,99%,99%,99%,92%
7.166666666666667,2017,27Q318,Waterside School For Leadership,75%,95%,94%,98%,96%,99%,97%,97%,97%,98%,97%,95%,99%,99%,98%,97%,98%,99%,96%
7.368421052631579,2017,27Q319,Village Academy,80%,95%,96%,97%,96%,97%,97%,97%,96%,97%,96%,97%,96%,96%,97%,96%,97%,97%,87%
6.8,2017,84Q321,Growing Up Green Charter School,70%,95%,94%,97%,97%,98%,96%,95%,95%,97%,95%,94%,96%,97%,97%,97%,96%,95%,89%
6.857142857142857,2017,27Q323,Scholars' Academy,83%,93%,93%,98%,95%,97%,97%,97%,97%,96%,96%,94%,96%,96%,96%,97%,98%,98%,87%
7.5,2017,28Q325,Hillside Arts & Letters Academy,33%,91%,87%,96%,90%,95%,95%,94%,94%,94%,94%,92%,95%,93%,96%,95%,97%,95%,80%
6.833333333333333,2017,29Q326,Cambria Heights Academy,47%,89%,89%,97%,94%,96%,96%,94%,97%,91%,96%,92%,95%,95%,95%,96%,94%,96%,84%
7.0,2017,30Q329,East Elmhurst Community School,92%,99%,100%,100%,99%,99%,99%,99%,99%,99%,100%,99%,99%,99%,98%,98%,98%,99%,97%
7.625,2017,28Q332,Redwood Middle School,17%,78%,86%,94%,86%,94%,90%,86%,86%,88%,88%,82%,81%,79%,88%,92%,90%,90%,92%
7.769230769230769,2017,27Q333,Goldie Maple Academy,80%,80%,81%,93%,84%,94%,90%,87%,86%,89%,81%,87%,87%,87%,92%,92%,89%,89%,90%
7.333333333333333,2017,27Q334,Epic High School - North,42%,90%,90%,96%,95%,95%,95%,96%,94%,97%,93%,92%,98%,98%,97%,95%,91%,93%,85%
7.4375,2017,84Q340,Challenge Preparatory Charter School,66%,86%,89%,95%,91%,96%,95%,92%,94%,93%,92%,90%,92%,93%,94%,95%,93%,90%,96%
7.0,2017,84Q341,Riverton Street Charter School,20%,85%,90%,98%,88%,93%,90%,88%,88%,93%,94%,91%,90%,89%,91%,91%,93%,89%,94%
6.857142857142857,2017,27Q351,Rockaway Collegiate High School,33%,90%,81%,90%,90%,91%,89%,86%,86%,93%,89%,93%,93%,88%,88%,93%,90%,92%,79%
8.333333333333334,2017,29Q355,Collaborative Arts Middle School,59%,90%,90%,96%,91%,97%,97%,95%,91%,94%,95%,94%,94%,96%,93%,95%,91%,95%,89%
8.333333333333334,2017,29Q356,Community Voices Middle School,42%,91%,90%,95%,94%,93%,96%,92%,93%,97%,92%,95%,98%,99%,93%,96%,91%,97%,91%
7.333333333333333,2017,28Q358,M.S. 358,72%,90%,91%,97%,93%,96%,97%,96%,96%,96%,96%,93%,97%,98%,97%,96%,97%,96%,82%
7.0,2017,10X360,P.S. 360,72%,87%,92%,96%,91%,97%,90%,90%,88%,95%,87%,90%,89%,87%,93%,94%,89%,94%,86%
7.0,2017,29Q360,P.S. 360,48%,95%,95%,96%,93%,95%,95%,96%,95%,92%,96%,91%,93%,91%,91%,96%,100%,100%,96%
7.75,2017,30Q361,The Woodside Community School,83%,95%,96%,96%,95%,97%,94%,95%,94%,96%,96%,93%,98%,97%,96%,98%,98%,99%,95%
7.3125,2017,27Q362,Wave Preparatory Elementary School,69%,94%,96%,98%,95%,98%,97%,96%,96%,96%,94%,94%,97%,96%,96%,96%,97%,96%,91%
7.0,2017,84Q374,Success Academy Charter School - South Jamaica,39%,94%,96%,96%,94%,96%,94%,94%,94%,96%,93%,94%,96%,94%,98%,100%,98%,100%,98%
7.368421052631579,2017,84Q375,Success Academy Charter School - Far Rockaway,25%,100%,100%,89%,94%,100%,97%,100%,100%,97%,100%,100%,100%,100%,97%,100%,97%,94%,94%
7.411764705882353,2017,32K376,P.S. 376,84%,89%,94%,97%,96%,97%,96%,96%,96%,97%,93%,96%,95%,96%,97%,96%,95%,96%,87%
7.5,2017,27Q400,August Martin High School,63%,97%,97%,100%,99%,99%,100%,98%,99%,100%,99%,99%,98%,98%,100%,100%,99%,100%,96%
7.833333333333333,2017,26Q415,Benjamin N. Cardozo High School,10%,69%,75%,93%,81%,92%,91%,92%,88%,89%,87%,88%,93%,89%,92%,89%,93%,90%,76%
6.0,2017,25Q425,John Bowne High School,26%,80%,83%,94%,86%,92%,90%,85%,86%,91%,82%,88%,88%,87%,89%,92%,92%,93%,66%
9.0,2017,26Q430,Francis Lewis High School,41%,83%,84%,96%,88%,96%,94%,94%,92%,94%,94%,89%,94%,95%,95%,96%,95%,94%,65%
8.181818181818182,2017,26Q435,Martin Van Buren High School,26%,82%,80%,91%,85%,93%,92%,90%,87%,91%,86%,89%,91%,91%,82%,91%,91%,88%,74%
9.0,2017,28Q440,Forest Hills High School,24%,78%,76%,95%,83%,91%,91%,90%,89%,92%,90%,88%,93%,90%,94%,90%,94%,93%,77%
7.5,2017,30Q445,William Cullen Bryant High School,18%,82%,79%,96%,86%,92%,87%,84%,82%,91%,81%,86%,87%,89%,88%,91%,89%,90%,73%
9.0,2017,30Q450,Long Island City High School,42%,78%,77%,91%,81%,89%,89%,87%,82%,87%,82%,85%,87%,89%,83%,88%,88%,87%,67%
7.0,2017,24Q455,Newtown High School,40%,87%,87%,96%,91%,95%,96%,95%,94%,93%,92%,93%,95%,94%,94%,96%,96%,95%,76%
8.0,2017,25Q460,Flushing High School,36%,75%,73%,91%,79%,91%,91%,87%,85%,87%,83%,82%,87%,87%,83%,87%,87%,87%,63%
8.0,2017,27Q475,Richmond Hill High School,10%,86%,83%,96%,88%,96%,93%,90%,91%,94%,89%,92%,93%,93%,88%,95%,95%,98%,82%
8.666666666666666,2017,27Q480,John Adams High School,31%,83%,83%,95%,85%,94%,93%,91%,89%,89%,87%,91%,91%,90%,89%,91%,94%,94%,75%
8.0,2017,24Q485,Grover Cleveland High School,16%,82%,82%,95%,89%,92%,92%,91%,91%,90%,90%,88%,91%,91%,91%,92%,89%,92%,81%
7.0,2017,26Q495,Bayside High School,20%,78%,78%,94%,86%,93%,92%,92%,90%,88%,89%,86%,90%,90%,93%,90%,92%,90%,71%
7.0,2017,29Q498,Humanities & Arts Magnet High School,95%,96%,95%,98%,97%,99%,98%,98%,97%,97%,97%,99%,98%,98%,98%,98%,97%,98%,95%
7.0,2017,30Q502,Information Technology High School,22%,90%,89%,95%,91%,94%,93%,94%,94%,93%,92%,93%,93%,95%,93%,95%,95%,95%,82%
7.2,2017,28Q505,Hillcrest High School,36%,98%,97%,97%,97%,98%,98%,99%,99%,99%,99%,99%,100%,100%,99%,99%,99%,100%,97%
7.0,2017,25Q525,Townsend Harris High School,38%,83%,83%,97%,90%,65%,44%,37%,35%,94%,77%,92%,38%,44%,99%,96%,96%,93%,85%
8.125,2017,25Q540,Queens Academy High School,7%,91%,96%,96%,100%,100%,92%,92%,92%,100%,100%,95%,96%,96%,92%,92%,96%,100%,88%
6.8,2017,30Q555,Newcomers High School,32%,89%,88%,97%,93%,95%,95%,93%,93%,96%,93%,93%,97%,95%,96%,95%,94%,96%,87%
8.0,2017,24Q585,Maspeth High School,45%,81%,84%,96%,88%,92%,88%,90%,89%,93%,78%,93%,88%,86%,97%,98%,98%,97%,75%
6.75,2017,24Q610,Aviation Career & Technical Education High School,14%,86%,86%,95%,86%,93%,95%,95%,94%,93%,93%,92%,95%,94%,97%,93%,96%,92%,80%
8.5,2017,25Q670,Robert F. Kennedy Community High School,36%,90%,88%,97%,95%,91%,97%,95%,97%,95%,96%,94%,98%,97%,91%,96%,94%,96%,75%
7.466666666666667,2017,28Q686,Queens Metropolitan High School,28%,85%,88%,95%,91%,96%,94%,94%,93%,95%,93%,92%,95%,94%,98%,97%,95%,95%,82%
6.8,2017,84Q704,Merrick Academy - Queens Public Charter School,45%,89%,89%,96%,91%,96%,92%,92%,93%,96%,92%,94%,97%,97%,96%,94%,94%,93%,93%
7.333333333333333,2017,84Q705,Renaissance Charter School,72%,88%,90%,97%,91%,95%,94%,92%,88%,94%,89%,92%,91%,91%,94%,95%,93%,94%,92%
9.0,2017,84Q706,Our World Neighborhood Charter School,42%,93%,92%,97%,96%,96%,96%,95%,95%,96%,95%,95%,96%,97%,97%,94%,96%,93%,94%
7.0,2017,75Q721,John F. Kennedy Jr. School,40%,92%,93%,96%,95%,94%,95%,94%,94%,94%,94%,94%,96%,96%,98%,98%,95%,96%,86%
6.666666666666667,2017,75Q752,Queens Transition Center,30%,84%,87%,97%,86%,95%,96%,89%,92%,90%,90%,94%,95%,89%,91%,91%,93%,94%,84%
8.285714285714286,2017,25Q792,North Queens Community High School,12%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,100%,100%,80%
7.933333333333334,2017,75Q811,P.S. Q811,38%,91%,93%,95%,93%,96%,93%,93%,93%,95%,93%,94%,96%,95%,97%,97%,94%,95%,85%
7.0,2017,75Q993,P.S. Q993,39%,91%,93%,97%,94%,96%,95%,95%,94%,97%,96%,96%,97%,93%,97%,95%,92%,94%,86%
6.769230769230769,2017,31R001,P.S. 001 Tottenville,79%,94%,95%,98%,95%,95%,92%,91%,90%,97%,92%,96%,92%,93%,98%,94%,94%,96%,95%
7.5625,2017,31R002,I.S. R002 George L. Egbert,46%,85%,85%,95%,87%,93%,95%,93%,93%,93%,90%,89%,91%,89%,93%,92%,94%,95%,81%
