DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
08X562,BLUEPRINT MIDDLE SCHOOL,25%,91%,91%,96%,91%,96%,96%,96%,94%,94%,93%,95%,89%,92%,93%,95%,97%,97%,82%,,,,,,,,,,,,
08X583,P.S. 583,68%,96%,95%,99%,98%,97%,98%,98%,98%,98%,98%,95%,97%,98%,98%,98%,98%,98%,97%,,,,,,,,,,,,
09X004,P.S./M.S. 004 CROTONA PARK WEST,55%,89%,90%,94%,91%,95%,91%,91%,90%,93%,87%,92%,91%,90%,92%,91%,92%,95%,90%,,,,,,,,,,,,
09X011,P.S. 011 HIGHBRIDGE,39%,93%,95%,98%,94%,98%,95%,95%,95%,95%,93%,94%,95%,94%,98%,94%,94%,97%,86%,,,,,,,,,,,,
09X022,J.H.S. 022 JORDAN L. MOTT,73%,91%,93%,96%,94%,96%,95%,95%,95%,94%,94%,94%,94%,94%,93%,95%,96%,96%,91%,,,,,,,,,,,,
09X028,P.S. 028 MOUNT HOPE,29%,93%,92%,96%,94%,98%,98%,97%,97%,96%,96%,94%,97%,96%,97%,96%,93%,95%,89%,,,,,,,,,,,,
09X035,P.S. 035 FRANZ SIEGEL,57%,92%,92%,95%,94%,95%,95%,95%,95%,94%,94%,94%,96%,96%,96%,96%,95%,96%,90%,,,,,,,,,,,,
09X042,P.S. 042 CLAREMONT,78%,93%,91%,93%,92%,92%,93%,94%,95%,93%,94%,94%,95%,95%,93%,94%,94%,94%,88%,,,,,,,,,,,,
09X053,P.S. 053 BASHEER QUISIM,58%,89%,92%,96%,92%,95%,92%,92%,91%,94%,89%,90%,89%,90%,92%,89%,92%,94%,86%,,,,,,,,,,,,
09X055,P.S. 055 BENJAMIN FRANKLIN,71%,91%,91%,97%,91%,97%,96%,95%,96%,93%,95%,93%,94%,95%,93%,93%,91%,95%,86%,,,,,,,,,,,,
09X058,P.S. 058,56%,83%,91%,96%,91%,96%,93%,92%,91%,91%,88%,89%,89%,89%,94%,94%,92%,92%,87%,,,,,,,,,,,,
09X063,P.S. 063 AUTHOR'S ACADEMY,49%,93%,96%,98%,92%,98%,96%,95%,95%,96%,95%,96%,96%,94%,95%,94%,95%,96%,94%,,,,,,,,,,,,
09X070,P.S. 070 MAX SCHOENFELD,52%,91%,94%,98%,93%,97%,97%,96%,96%,96%,93%,94%,94%,94%,95%,95%,95%,98%,92%,,,,,,,,,,,,
09X073,P.S. 073 BRONX,20%,86%,84%,97%,85%,98%,89%,83%,82%,92%,79%,86%,86%,87%,87%,85%,82%,87%,90%,,,,,,,,,,,,
09X088,P.S. X088 - S. SILVERSTEIN LITTLE SPARROW SCHOOL,52%,94%,96%,97%,92%,97%,92%,91%,92%,98%,92%,97%,90%,95%,97%,88%,90%,90%,87%,,,,,,,,,,,,
09X109,P.S. 109 SEDGWICK,66%,95%,96%,98%,94%,98%,97%,96%,93%,97%,94%,97%,97%,97%,96%,95%,96%,97%,92%,,,,,,,,,,,,
09X110,P.S. 110 THEODORE SCHOENFELD,21%,83%,86%,90%,86%,89%,88%,85%,85%,94%,88%,86%,86%,86%,91%,85%,88%,88%,84%,,,,,,,,,,,,
09X114,P.S. X114 - LUIS LLORENS TORRES SCHOOLS,67%,88%,88%,96%,89%,94%,94%,93%,93%,92%,91%,91%,93%,92%,94%,93%,94%,94%,85%,,,,,,,,,,,,
09X117,I.S. 117 JOSEPH H. WADE,77%,97%,97%,99%,98%,99%,98%,98%,97%,98%,98%,98%,99%,99%,98%,97%,98%,98%,88%,,,,,,,,,,,,
09X126,P.S. 126 DR MARJORIE H DUNBAR,71%,90%,93%,96%,90%,95%,94%,94%,95%,93%,90%,93%,95%,96%,96%,94%,95%,94%,90%,,,,,,,,,,,,
09X128,MOTT HALL III,62%,90%,91%,96%,94%,94%,97%,96%,96%,93%,95%,94%,95%,95%,97%,96%,97%,96%,85%,,,,,,,,,,,,
09X132,P.S. 132 GARRET A. MORGAN,60%,72%,76%,90%,77%,89%,82%,78%,79%,81%,75%,82%,84%,81%,80%,80%,83%,84%,75%,,,,,,,,,,,,
09X163,P.S. 163 ARTHUR A. SCHOMBURG,70%,89%,90%,96%,92%,95%,92%,90%,93%,91%,88%,89%,90%,93%,88%,94%,89%,92%,85%,,,,,,,,,,,,
09X170,P.S. 170,93%,99%,99%,100%,99%,99%,99%,99%,99%,99%,98%,98%,99%,99%,99%,99%,99%,99%,94%,,,,,,,,,,,,
09X199,P.S. 199X - THE SHAKESPEARE SCHOOL,69%,93%,96%,99%,97%,97%,97%,97%,97%,98%,98%,97%,97%,98%,95%,97%,97%,97%,90%,,,,,,,,,,,,
09X204,P.S. 204 MORRIS HEIGHTS,89%,97%,98%,98%,97%,98%,99%,98%,98%,96%,98%,97%,97%,97%,97%,98%,98%,98%,95%,,,,,,,,,,,,
09X215,KAPPA,66%,84%,91%,97%,91%,94%,96%,94%,95%,94%,92%,91%,96%,92%,94%,95%,96%,94%,81%,,,,,,,,,,,,
09X218,P.S./I.S. 218 RAFAEL HERNANDEZ DUAL LANGUAGE MAGNET SCHOOL,79%,91%,94%,97%,94%,98%,97%,96%,96%,96%,95%,94%,96%,96%,96%,93%,95%,96%,89%,,,,,,,,,,,,
09X219,I.S. 219 NEW VENTURE SCHOOL,36%,89%,93%,95%,89%,94%,95%,93%,94%,92%,90%,98%,95%,95%,91%,91%,91%,91%,90%,,,,,,,,,,,,
09X227,BRONX COLLEGIATE ACADEMY,36%,81%,88%,94%,93%,92%,98%,95%,93%,88%,90%,87%,93%,92%,91%,98%,95%,96%,84%,,,,,,,,,,,,
09X229,I.S. 229 ROLAND PATTERSON,54%,92%,94%,99%,96%,97%,98%,96%,96%,97%,96%,98%,96%,97%,94%,98%,96%,99%,97%,,,,,,,,,,,,
09X231,EAGLE ACADEMY FOR YOUNG MEN,21%,85%,85%,95%,91%,95%,93%,87%,83%,94%,86%,89%,91%,95%,90%,94%,92%,94%,94%,,,,,,,,,,,,
09X232,I.S. 232,69%,87%,92%,95%,94%,97%,95%,97%,95%,93%,95%,95%,94%,94%,93%,97%,94%,95%,86%,,,,,,,,,,,,
09X236,P.S. 236 LANGSTON HUGHES,100%,95%,96%,97%,96%,98%,97%,96%,96%,96%,94%,99%,94%,95%,98%,97%,97%,97%,88%,,,,,,,,,,,,
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",60%,92%,95%,98%,96%,97%,97%,95%,97%,94%,95%,93%,95%,95%,96%,99%,98%,99%,88%,,,,,,,,,,,,
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,44%,98%,99%,99%,98%,99%,99%,99%,97%,98%,98%,98%,99%,99%,99%,98%,99%,99%,95%,,,,,,,,,,,,
09X252,MOTT HALL BRONX HIGH SCHOOL,12%,93%,95%,95%,98%,98%,98%,98%,98%,100%,98%,93%,98%,97%,92%,98%,98%,100%,85%,,,,,,,,,,,,
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,54%,88%,91%,98%,93%,97%,97%,96%,97%,96%,95%,93%,96%,96%,94%,96%,99%,98%,77%,,,,,,,,,,,,
09X263,VALIDUS PREPARATORY ACADEMY,28%,91%,94%,97%,96%,98%,97%,96%,97%,95%,96%,92%,97%,95%,91%,98%,99%,100%,85%,,,,,,,,,,,,
09X274,THE NEW AMERICAN ACADEMY AT ROBERTO CLEMENTE STATE PARK,35%,94%,93%,95%,93%,95%,94%,90%,92%,94%,91%,93%,93%,93%,93%,96%,95%,99%,95%,,,,,,,,,,,,
09X294,THE WALTON AVENUE SCHOOL,56%,94%,95%,98%,98%,98%,98%,98%,98%,97%,98%,96%,98%,98%,95%,97%,97%,97%,92%,,,,,,,,,,,,
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,41%,97%,99%,100%,99%,100%,100%,99%,100%,99%,100%,99%,99%,99%,99%,100%,99%,99%,85%,,,,,,,,,,,,
09X303,I.S. X303 LEADERSHIP & COMMUNITY SERVICE,90%,94%,96%,98%,98%,98%,99%,99%,98%,97%,98%,96%,98%,98%,98%,98%,98%,98%,83%,,,,,,,,,,,,
09X311,LUCERO ELEMENTARY SCHOOL,64%,95%,94%,96%,93%,95%,95%,93%,95%,97%,94%,96%,95%,97%,96%,94%,95%,97%,91%,,,,,,,,,,,,
09X313,I.S. 313 SCHOOL OF LEADERSHIP DEVELOPMENT,49%,87%,94%,96%,91%,96%,96%,94%,96%,96%,95%,92%,97%,96%,95%,89%,93%,93%,91%,,,,,,,,,,,,
09X323,BRONX WRITING ACADEMY,33%,87%,90%,96%,93%,96%,95%,89%,90%,90%,89%,91%,92%,90%,89%,95%,88%,93%,82%,,,,,,,,,,,,
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,56%,92%,92%,97%,96%,96%,93%,92%,92%,96%,89%,94%,89%,89%,94%,97%,99%,99%,90%,,,,,,,,,,,,
09X325,URBAN SCIENCE ACADEMY,9%,79%,70%,92%,75%,100%,96%,84%,79%,91%,78%,91%,90%,87%,78%,88%,76%,80%,92%,,,,,,,,,,,,
09X327,COMPREHENSIVE MODEL SCHOOL PROJECT M.S. 327,46%,86%,89%,97%,89%,96%,96%,93%,94%,95%,91%,93%,95%,96%,96%,96%,98%,98%,80%,,,,,,,,,,,,
09X328,NEW MILLENNIUM BUSINESS ACADEMY MIDDLE SCHOOL,44%,87%,90%,99%,91%,97%,99%,98%,99%,98%,96%,97%,96%,96%,94%,95%,98%,95%,83%,,,,,,,,,,,,
09X329,DREAMYARD PREPARATORY SCHOOL,69%,96%,93%,96%,93%,95%,95%,95%,96%,94%,95%,98%,95%,94%,97%,97%,99%,99%,89%,,,,,,,,,,,,
09X339,I.S. 339,60%,89%,87%,90%,84%,91%,92%,88%,92%,93%,91%,89%,93%,93%,85%,95%,93%,92%,90%,,,,,,,,,,,,
09X350,NEW DIRECTIONS SECONDARY SCHOOL,51%,86%,82%,97%,90%,94%,95%,89%,87%,91%,92%,93%,92%,89%,85%,98%,86%,94%,85%,,,,,,,,,,,,
09X361,THE HIGHBRIDGE GREEN SCHOOL,99%,93%,92%,95%,93%,95%,94%,94%,94%,92%,94%,92%,94%,94%,94%,96%,97%,96%,88%,,,,,,,,,,,,
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,95%,91%,92%,96%,95%,97%,96%,96%,96%,94%,93%,96%,94%,94%,95%,97%,99%,97%,90%,,,,,,,,,,,,
09X403,BRONX INTERNATIONAL HIGH SCHOOL,61%,85%,87%,93%,92%,93%,93%,92%,88%,93%,92%,93%,91%,91%,93%,95%,95%,97%,82%,,,,,,,,,,,,
09X404,SCHOOL FOR EXCELLENCE,9%,80%,83%,97%,90%,97%,97%,90%,97%,89%,90%,89%,89%,85%,93%,90%,89%,86%,77%,,,,,,,,,,,,
09X412,BRONX HIGH SCHOOL OF BUSINESS,24%,95%,90%,97%,93%,93%,97%,96%,97%,95%,96%,96%,98%,96%,94%,98%,94%,98%,86%,,,,,,,,,,,,
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,26%,83%,89%,94%,87%,91%,92%,92%,91%,94%,91%,91%,92%,89%,90%,93%,91%,92%,82%,,,,,,,,,,,,
09X443,THE FAMILY SCHOOL,63%,91%,95%,98%,96%,99%,98%,98%,98%,98%,97%,96%,97%,98%,98%,97%,93%,97%,89%,,,,,,,,,,,,
09X449,GRANT AVENUE ELEMENTARY SCHOOL,95%,94%,94%,95%,95%,96%,97%,97%,96%,96%,94%,95%,97%,96%,97%,98%,95%,96%,97%,,,,,,,,,,,,
09X454,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,66%,95%,96%,97%,96%,97%,97%,96%,97%,97%,97%,97%,97%,97%,97%,97%,98%,98%,88%,,,,,,,,,,,,
09X457,SHERIDAN ACADEMY FOR YOUNG LEADERS,74%,92%,96%,98%,95%,96%,98%,94%,96%,97%,96%,95%,96%,96%,97%,95%,95%,97%,89%,,,,,,,,,,,,
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",70%,87%,89%,96%,94%,97%,95%,94%,94%,95%,93%,95%,95%,95%,93%,94%,96%,96%,81%,,,,,,,,,,,,
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,81%,87%,91%,87%,92%,92%,94%,93%,92%,95%,93%,93%,94%,95%,94%,93%,94%,94%,81%,,,,,,,,,,,,
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,6%,82%,83%,94%,90%,94%,94%,90%,90%,90%,90%,93%,86%,89%,90%,93%,93%,100%,77%,,,,,,,,,,,,
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,16%,95%,95%,100%,100%,100%,100%,100%,100%,100%,100%,97%,100%,97%,97%,100%,95%,97%,85%,,,,,,,,,,,,
09X555,MOUNT EDEN CHILDREN'S ACADEMY,100%,96%,96%,98%,98%,98%,98%,98%,98%,98%,98%,97%,97%,97%,97%,98%,97%,97%,93%,,,,,,,,,,,,
09X564,CLAREMONT INTERNATIONAL HS,51%,93%,94%,99%,98%,97%,99%,95%,99%,98%,98%,97%,93%,91%,97%,99%,98%,99%,81%,,,,,,,,,,,,
09X568,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX,80%,86%,87%,97%,89%,98%,95%,92%,93%,95%,91%,93%,97%,96%,96%,91%,95%,93%,82%,,,,,,,,,,,,
10X003,P.S. 3 RAUL JULIA MICRO SOCIETY,79%,92%,92%,95%,94%,98%,96%,93%,94%,93%,91%,93%,93%,95%,95%,98%,89%,91%,90%,,,,,,,,,,,,
10X007,MILTON FEIN SCHOOL,75%,92%,96%,98%,95%,98%,98%,97%,98%,96%,95%,96%,95%,96%,98%,97%,97%,97%,89%,,,,,,,,,,,,
10X008,P.S. 008 ISAAC VARIAN,24%,88%,91%,96%,91%,97%,96%,96%,95%,95%,93%,93%,95%,95%,95%,93%,96%,94%,89%,,,,,,,,,,,,
10X009,P.S. 9 RYER AVENUE ELEMENTARY SCHOOL,67%,89%,92%,96%,91%,95%,92%,92%,92%,94%,91%,92%,93%,95%,91%,91%,92%,95%,88%,,,,,,,,,,,,
10X015,P.S. X015 INSTITUTE FOR ENVIRONMENTAL LEARNING,71%,94%,95%,96%,93%,96%,97%,96%,96%,95%,96%,94%,97%,96%,96%,95%,94%,96%,93%,,,,,,,,,,,,
10X020,"P.S./M.S. 20 P.O.GEORGE J. WERDANN, III",40%,92%,93%,97%,89%,96%,92%,92%,90%,94%,85%,91%,89%,90%,93%,89%,95%,97%,82%,,,,,,,,,,,,
10X023,P.S. 023 THE NEW CHILDREN'S SCHOOL,47%,90%,94%,96%,94%,96%,96%,94%,95%,95%,95%,95%,95%,95%,95%,96%,97%,99%,91%,,,,,,,,,,,,
10X024,P.S. 024 SPUYTEN DUYVIL,73%,82%,85%,95%,79%,97%,78%,76%,80%,92%,75%,82%,83%,84%,94%,89%,88%,91%,90%,,,,,,,,,,,,
10X032,P.S. 032 BELMONT,58%,92%,95%,97%,94%,98%,97%,96%,97%,96%,94%,93%,96%,96%,95%,98%,95%,96%,92%,,,,,,,,,,,,
10X033,P.S. 033 TIMOTHY DWIGHT,77%,86%,92%,95%,88%,94%,91%,90%,90%,94%,90%,91%,91%,90%,90%,89%,94%,95%,90%,,,,,,,,,,,,
10X037,P.S. X037 - MULTIPLE INTELLIGENCE SCHOOL,42%,93%,96%,99%,97%,99%,98%,98%,98%,97%,97%,95%,96%,95%,98%,98%,97%,98%,96%,,,,,,,,,,,,
10X045,THOMAS C. GIORDANO MIDDLE SCHOOL 45,34%,87%,92%,97%,95%,97%,97%,93%,93%,96%,91%,94%,97%,96%,93%,96%,94%,95%,86%,,,,,,,,,,,,
10X046,P.S. 046 EDGAR ALLAN POE,47%,90%,94%,96%,93%,96%,95%,96%,94%,95%,94%,95%,94%,93%,96%,96%,96%,96%,85%,,,,,,,,,,,,
10X051,P.S. 051 BRONX NEW SCHOOL,87%,94%,93%,97%,96%,96%,96%,96%,97%,96%,93%,92%,94%,96%,96%,99%,96%,97%,90%,,,,,,,,,,,,
10X054,P.S./I.S. 54,100%,96%,96%,97%,97%,97%,97%,97%,98%,98%,97%,97%,98%,98%,98%,98%,98%,98%,93%,,,,,,,,,,,,
10X056,P.S. 056 NORWOOD HEIGHTS,74%,97%,98%,99%,97%,98%,99%,98%,99%,97%,98%,96%,98%,97%,98%,97%,96%,97%,90%,,,,,,,,,,,,
10X059,P.S. 059 THE COMMUNITY SCHOOL OF TECHNOLOGY,100%,99%,95%,89%,95%,88%,99%,99%,91%,95%,91%,99%,99%,98%,98%,88%,93%,99%,96%,,,,,,,,,,,,
10X077,BEDFORD PARK ELEMENTARY SCHOOL,77%,95%,95%,96%,95%,97%,96%,95%,95%,98%,95%,94%,96%,97%,96%,97%,96%,95%,93%,,,,,,,,,,,,
10X080,J.H.S. 080 THE MOSHOLU PARKWAY,53%,87%,90%,96%,90%,96%,94%,90%,89%,92%,91%,86%,90%,90%,88%,89%,91%,92%,87%,,,,,,,,,,,,
10X081,P.S. 081 ROBERT J. CHRISTEN,100%,96%,96%,98%,96%,98%,97%,97%,97%,98%,96%,95%,98%,98%,98%,97%,98%,98%,94%,,,,,,,,,,,,
10X085,P.S. 085 GREAT EXPECTATIONS,48%,93%,93%,97%,94%,98%,96%,95%,95%,97%,94%,94%,96%,94%,94%,95%,96%,96%,90%,,,,,,,,,,,,
10X086,P.S. 086 KINGSBRIDGE HEIGHTS,36%,92%,94%,97%,95%,97%,95%,96%,95%,98%,93%,95%,96%,96%,97%,96%,96%,97%,92%,,,,,,,,,,,,
10X091,P.S. 091 BRONX,83%,89%,93%,95%,92%,94%,94%,92%,90%,94%,91%,90%,90%,89%,91%,93%,94%,95%,87%,,,,,,,,,,,,
10X094,P.S. 094 KINGS COLLEGE SCHOOL,43%,92%,95%,97%,97%,99%,98%,96%,97%,97%,94%,94%,96%,97%,96%,96%,95%,96%,88%,,,,,,,,,,,,
10X095,P.S. 095 SHEILA MENCHER,81%,96%,97%,98%,97%,98%,98%,98%,98%,98%,98%,97%,99%,99%,98%,97%,98%,97%,92%,,,,,,,,,,,,
10X118,J.H.S. 118 WILLIAM W. NILES,45%,83%,85%,94%,88%,95%,93%,91%,89%,92%,88%,90%,91%,92%,87%,92%,91%,90%,79%,,,,,,,,,,,,
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),27%,77%,86%,97%,90%,97%,93%,92%,92%,94%,91%,85%,95%,95%,91%,92%,92%,93%,90%,,,,,,,,,,,,
10X159,P.S. 159 LUIS MUNOZ MARIN BILING,82%,97%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,100%,98%,99%,98%,,,,,,,,,,,,
10X205,P.S. 205 FIORELLO LAGUARDIA,82%,93%,95%,98%,95%,97%,96%,95%,95%,95%,93%,94%,95%,94%,95%,95%,96%,98%,88%,,,,,,,,,,,,
10X206,I.S. 206 ANN MERSEREAU,95%,97%,98%,98%,97%,98%,98%,98%,98%,98%,98%,98%,98%,98%,96%,99%,98%,98%,97%,,,,,,,,,,,,
10X207,P.S. 207,81%,87%,86%,96%,92%,96%,96%,95%,95%,93%,94%,91%,96%,97%,94%,93%,91%,91%,89%,,,,,,,,,,,,
10X209,P.S. 209,88%,95%,95%,98%,94%,98%,98%,97%,97%,96%,94%,96%,95%,94%,97%,96%,97%,98%,93%,,,,,,,,,,,,
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,37%,92%,92%,90%,91%,89%,91%,89%,91%,90%,88%,95%,92%,92%,92%,92%,90%,94%,86%,,,,,,,,,,,,
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,17%,92%,88%,96%,88%,97%,93%,85%,89%,90%,85%,92%,84%,81%,88%,89%,88%,91%,90%,,,,,,,,,,,,
10X226,P.S. 226,69%,87%,88%,97%,90%,97%,94%,92%,92%,95%,90%,92%,95%,96%,93%,94%,88%,91%,87%,,,,,,,,,,,,
10X228,JONAS BRONCK ACADEMY,95%,94%,94%,98%,92%,96%,98%,96%,96%,96%,95%,96%,98%,98%,98%,95%,97%,96%,88%,,,,,,,,,,,,
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",13%,84%,84%,91%,84%,91%,92%,88%,84%,89%,80%,88%,88%,87%,91%,89%,87%,85%,70%,,,,,,,,,,,,
10X243,WEST BRONX ACADEMY FOR THE FUTURE,32%,87%,85%,96%,92%,95%,98%,97%,96%,92%,95%,93%,95%,93%,90%,95%,93%,90%,85%,,,,,,,,,,,,
10X244,THE NEW SCHOOL FOR LEADERSHIP AND JOURNALISM,34%,92%,91%,96%,93%,98%,97%,95%,95%,97%,94%,96%,97%,97%,97%,97%,97%,96%,90%,,,,,,,,,,,,
10X246,P.S. 246 POE CENTER,31%,92%,96%,97%,94%,96%,96%,95%,96%,96%,96%,96%,95%,96%,97%,96%,98%,100%,94%,,,,,,,,,,,,
10X254,I.S. 254,39%,96%,97%,98%,99%,98%,99%,98%,99%,99%,99%,97%,99%,98%,98%,98%,97%,97%,94%,,,,,,,,,,,,
10X264,BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),16%,77%,83%,98%,94%,94%,97%,94%,97%,95%,92%,92%,93%,90%,97%,95%,91%,93%,88%,,,,,,,,,,,,
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,60%,91%,90%,98%,96%,97%,98%,96%,96%,95%,96%,93%,95%,93%,93%,96%,95%,97%,85%,,,,,,,,,,,,
10X279,"P.S. 279 CAPTAIN MANUEL RIVERA, JR.",58%,94%,95%,98%,97%,98%,99%,98%,98%,96%,97%,96%,98%,97%,97%,98%,97%,98%,92%,,,,,,,,,,,,
10X280,P.S./M.S. 280 MOSHOLU PARKWAY,49%,91%,95%,99%,93%,98%,96%,95%,95%,98%,91%,94%,95%,96%,97%,96%,97%,98%,88%,,,,,,,,,,,,
10X284,BRONX SCHOOL OF LAW AND FINANCE,8%,72%,75%,86%,86%,90%,90%,86%,86%,93%,85%,89%,83%,93%,92%,82%,79%,85%,75%,,,,,,,,,,,,
10X291,P.S. 291,100%,98%,99%,100%,99%,100%,99%,99%,99%,99%,99%,98%,99%,99%,99%,99%,99%,99%,98%,,,,,,,,,,,,
10X306,P.S. 306,66%,91%,94%,96%,91%,96%,96%,95%,96%,94%,94%,96%,95%,95%,94%,98%,96%,98%,90%,,,,,,,,,,,,
10X307,LUISA PINEIRO FUENTES SCHOOL OF SCIENCE AND DISCOVERY,60%,86%,93%,95%,92%,95%,92%,92%,92%,93%,90%,93%,92%,93%,92%,97%,96%,98%,94%,,,,,,,,,,,,
10X308,BRONX DANCE ACADEMY SCHOOL,43%,82%,88%,95%,85%,97%,91%,89%,86%,94%,84%,93%,92%,91%,92%,90%,95%,94%,90%,,,,,,,,,,,,
10X310,P.S. 310 MARBLE HILL,72%,93%,95%,96%,96%,98%,96%,95%,93%,95%,93%,93%,94%,94%,97%,96%,95%,95%,92%,,,,,,,,,,,,
10X315,P.S. 315 LAB SCHOOL,65%,93%,96%,97%,95%,97%,97%,96%,94%,96%,95%,94%,95%,95%,97%,94%,94%,96%,94%,,,,,,,,,,,,
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,32%,95%,92%,93%,93%,98%,98%,95%,98%,98%,98%,95%,96%,96%,98%,93%,93%,96%,80%,,,,,,,,,,,,
10X331,THE BRONX SCHOOL OF YOUNG LEADERS,55%,93%,96%,98%,96%,98%,98%,98%,98%,97%,97%,95%,98%,98%,94%,99%,97%,98%,88%,,,,,,,,,,,,
10X340,P.S. 340,89%,94%,96%,98%,96%,98%,97%,97%,97%,97%,96%,95%,96%,97%,94%,98%,98%,98%,91%,,,,,,,,,,,,
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,99%,93%,93%,97%,96%,95%,98%,96%,97%,97%,97%,97%,94%,96%,96%,96%,95%,96%,87%,,,,,,,,,,,,
10X344,AMPARK NEIGHBORHOOD,68%,91%,92%,95%,91%,97%,95%,94%,94%,93%,91%,92%,96%,98%,96%,95%,90%,93%,95%,,,,,,,,,,,,
10X351,BRONX COLLABORATIVE HIGH SCHOOL,19%,85%,89%,98%,91%,97%,93%,89%,91%,93%,88%,92%,92%,92%,95%,86%,91%,94%,84%,,,,,,,,,,,,
10X353,WORLD VIEW HIGH SCHOOL,20%,95%,93%,96%,95%,93%,97%,95%,97%,93%,96%,94%,95%,95%,94%,97%,95%,97%,87%,,,,,,,,,,,,
10X360,P.S. 360,46%,91%,94%,98%,93%,97%,93%,93%,92%,96%,90%,93%,90%,91%,92%,92%,94%,96%,88%,,,,,,,,,,,,
10X363,ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,87%,91%,93%,96%,94%,97%,97%,95%,96%,95%,96%,95%,96%,96%,96%,96%,96%,97%,83%,,,,,,,,,,,,
10X368,IN-TECH ACADEMY (M.S. / HIGH SCHOOL 368),47%,81%,84%,94%,89%,95%,95%,94%,95%,90%,90%,90%,94%,92%,93%,92%,93%,93%,80%,,,,,,,,,,,,
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),57%,95%,94%,98%,97%,97%,97%,96%,96%,96%,95%,95%,95%,96%,96%,94%,96%,97%,91%,,,,,,,,,,,,
10X382,"ELEMENTARY SCHOOL FOR MATH, SCIENCE, AND TECHNOLOGY",85%,90%,93%,96%,93%,95%,95%,94%,94%,95%,92%,95%,94%,95%,97%,96%,96%,96%,87%,,,,,,,,,,,,
10X386,SCHOOL FOR ENVIRONMENTAL CITIZENSHIP,100%,90%,93%,96%,91%,96%,94%,93%,94%,95%,93%,94%,95%,96%,92%,96%,94%,96%,91%,,,,,,,,,,,,
10X390,M.S. 390,74%,97%,97%,98%,97%,98%,98%,97%,98%,97%,97%,97%,97%,97%,96%,98%,98%,97%,98%,,,,,,,,,,,,
10X391,THE ANGELO PATRI MIDDLE SCHOOL,48%,91%,87%,95%,91%,95%,96%,93%,93%,93%,93%,92%,94%,96%,90%,93%,88%,89%,87%,,,,,,,,,,,,
10X396,P.S. 396,49%,95%,96%,96%,92%,97%,93%,94%,95%,95%,93%,94%,98%,97%,94%,95%,98%,98%,81%,,,,,,,,,,,,
10X397,ENGLISH LANGUAGE LEARNERS AND INTERNATIONAL SUPPORT PREPARATORY ACADEMY (ELLIS),20%,93%,93%,95%,96%,91%,96%,92%,94%,94%,94%,94%,90%,96%,94%,94%,95%,94%,81%,,,,,,,,,,,,
10X433,HIGH SCHOOL FOR TEACHING AND THE PROFESSIONS,20%,91%,93%,95%,93%,93%,96%,96%,96%,93%,95%,92%,96%,97%,97%,96%,97%,96%,97%,,,,,,,,,,,,
10X434,BELMONT PREPARATORY HIGH SCHOOL,45%,81%,85%,95%,89%,93%,95%,94%,94%,92%,89%,89%,95%,92%,94%,91%,94%,93%,79%,,,,,,,,,,,,
10X437,FORDHAM HIGH SCHOOL FOR THE ARTS,38%,94%,98%,99%,96%,99%,94%,96%,95%,97%,92%,95%,94%,93%,96%,97%,97%,97%,88%,,,,,,,,,,,,
10X438,FORDHAM LEADERSHIP ACADEMY,58%,95%,95%,98%,96%,99%,99%,97%,97%,96%,97%,98%,98%,99%,98%,98%,98%,99%,88%,,,,,,,,,,,,
10X439,BRONX HIGH SCHOOL FOR LAW AND COMMUNITY SERVICE,32%,88%,92%,95%,93%,93%,96%,96%,96%,96%,91%,94%,96%,96%,94%,96%,94%,94%,88%,,,,,,,,,,,,
