DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
09X028,P.S. 028 Mount Hope,10%,89%,96%,100%,93%,95%,93%,91%,93%,96%,94%,98%,90%,88%,96%,91%,89%,92%,87%,,,,,,,,,,,,
09X035,P.S. 035 Franz Siegel,66%,89%,93%,97%,94%,97%,97%,96%,95%,96%,96%,93%,95%,96%,96%,97%,95%,95%,87%,,,,,,,,,,,,
09X042,P.S. 042 Claremont,58%,96%,95%,96%,95%,97%,96%,96%,96%,95%,96%,97%,98%,98%,97%,95%,97%,98%,90%,,,,,,,,,,,,
09X053,P.S. 053 Basheer Quisim,31%,87%,88%,97%,85%,96%,93%,88%,88%,92%,86%,93%,87%,89%,92%,88%,91%,94%,86%,,,,,,,,,,,,
09X055,P.S. 055 Benjamin Franklin,59%,83%,89%,97%,90%,94%,97%,95%,94%,91%,95%,93%,95%,93%,95%,93%,89%,94%,85%,,,,,,,,,,,,
09X058,P.S. 058,48%,88%,87%,92%,86%,92%,93%,91%,91%,89%,91%,91%,90%,90%,92%,92%,86%,92%,87%,,,,,,,,,,,,
09X063,P.S. 063 Author'S Academy,54%,95%,97%,98%,95%,99%,96%,95%,96%,97%,96%,97%,98%,96%,96%,97%,98%,98%,94%,,,,,,,,,,,,
09X070,P.S. 070 Max Schoenfeld,38%,89%,91%,98%,90%,96%,95%,92%,91%,94%,90%,91%,92%,92%,95%,94%,93%,95%,85%,,,,,,,,,,,,
09X073,P.S. 073 Bronx,51%,85%,91%,96%,91%,94%,92%,90%,91%,94%,89%,91%,89%,90%,93%,90%,90%,92%,85%,,,,,,,,,,,,
09X088,P.S. X088 - S. Silverstein Little Sparrow School,25%,97%,100%,100%,92%,97%,92%,92%,92%,97%,94%,97%,84%,89%,97%,89%,94%,97%,86%,,,,,,,,,,,,
09X109,P.S. 109 Sedgwick,50%,93%,94%,96%,95%,96%,94%,93%,93%,94%,92%,93%,92%,94%,94%,93%,94%,97%,91%,,,,,,,,,,,,
09X110,P.S. 110 Theodore Schoenfeld,20%,89%,94%,94%,82%,90%,91%,84%,84%,91%,89%,89%,90%,94%,90%,85%,88%,89%,90%,,,,,,,,,,,,
09X114,P.S. X114 - Luis Llorens Torres Schools,44%,90%,94%,98%,95%,97%,96%,94%,94%,97%,93%,94%,95%,95%,98%,95%,95%,99%,87%,,,,,,,,,,,,
09X117,I.S. 117 Joseph H. Wade,78%,97%,96%,97%,97%,98%,97%,98%,98%,96%,99%,97%,98%,98%,96%,98%,98%,98%,92%,,,,,,,,,,,,
09X126,P.S. 126 Dr Marjorie H Dunbar,51%,85%,88%,94%,86%,94%,90%,92%,88%,90%,87%,87%,89%,90%,90%,92%,92%,93%,90%,,,,,,,,,,,,
09X128,Mott Hall Iii,71%,94%,93%,95%,93%,96%,94%,95%,95%,95%,93%,90%,93%,93%,95%,95%,97%,96%,83%,,,,,,,,,,,,
09X132,P.S. 132 Garret A. Morgan,52%,90%,93%,96%,92%,94%,91%,89%,90%,92%,90%,94%,92%,92%,88%,94%,91%,96%,90%,,,,,,,,,,,,
09X145,J.H.S. 145 Arturo Toscanini,29%,86%,89%,97%,89%,91%,94%,91%,90%,97%,90%,91%,90%,92%,92%,94%,94%,94%,84%,,,,,,,,,,,,
09X163,P.S. 163 Arthur A. Schomburg,73%,91%,97%,97%,96%,96%,96%,96%,95%,96%,93%,94%,96%,98%,97%,97%,97%,96%,87%,,,,,,,,,,,,
09X170,P.S. 170,95%,100%,100%,100%,100%,100%,100%,100%,99%,98%,99%,98%,99%,99%,98%,99%,98%,99%,96%,,,,,,,,,,,,
09X199,P.S. 199X - The Shakespeare School,50%,91%,92%,97%,92%,95%,92%,93%,91%,94%,89%,92%,94%,94%,94%,93%,94%,96%,91%,,,,,,,,,,,,
09X204,P.S. 204 Morris Heights,94%,95%,96%,98%,97%,98%,97%,98%,98%,97%,97%,97%,97%,96%,97%,98%,98%,99%,93%,,,,,,,,,,,,
09X215,Kappa,72%,87%,89%,94%,91%,91%,93%,90%,95%,96%,93%,90%,95%,91%,96%,94%,97%,96%,76%,,,,,,,,,,,,
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magnet School,66%,88%,92%,97%,92%,96%,96%,94%,94%,93%,93%,92%,93%,93%,96%,95%,95%,96%,87%,,,,,,,,,,,,
09X219,I.S. 219 New Venture School,54%,86%,88%,93%,93%,90%,94%,91%,92%,92%,92%,89%,93%,92%,88%,90%,88%,88%,81%,,,,,,,,,,,,
09X227,Bronx Collegiate Academy,29%,87%,86%,100%,89%,95%,99%,98%,99%,90%,90%,92%,97%,93%,88%,93%,89%,96%,78%,,,,,,,,,,,,
09X229,I.S. 229 Roland Patterson,74%,97%,97%,97%,95%,97%,96%,91%,87%,98%,95%,97%,98%,97%,97%,97%,95%,96%,94%,,,,,,,,,,,,
09X231,Eagle Academy For Young Men,31%,85%,85%,97%,94%,96%,94%,91%,91%,95%,91%,91%,90%,91%,97%,95%,91%,95%,94%,,,,,,,,,,,,
09X232,I.S. 232,77%,89%,87%,96%,95%,96%,91%,88%,86%,92%,88%,89%,91%,91%,88%,96%,91%,95%,89%,,,,,,,,,,,,
09X236,P.S. 236 Langston Hughes,79%,99%,100%,99%,98%,100%,95%,96%,95%,98%,93%,98%,96%,96%,97%,99%,98%,99%,93%,,,,,,,,,,,,
09X241,"Urban Assembly School For Applied Math And Science, The",37%,90%,94%,97%,94%,97%,97%,95%,95%,94%,92%,96%,93%,94%,95%,98%,97%,96%,84%,,,,,,,,,,,,
09X250,Eximius College Preparatory Academy: A College Board School,38%,91%,92%,97%,96%,96%,97%,97%,94%,96%,97%,96%,96%,95%,97%,96%,98%,100%,95%,,,,,,,,,,,,
09X252,Mott Hall Bronx High School,23%,96%,97%,99%,99%,99%,97%,99%,99%,100%,95%,100%,100%,100%,99%,99%,97%,97%,91%,,,,,,,,,,,,
09X260,Bronx Center For Science And Mathematics,56%,84%,88%,97%,89%,95%,96%,94%,93%,95%,94%,90%,95%,95%,94%,96%,94%,97%,77%,,,,,,,,,,,,
09X263,Validus Preparatory Academy,42%,90%,90%,97%,95%,95%,96%,94%,94%,96%,95%,95%,95%,96%,94%,97%,95%,96%,80%,,,,,,,,,,,,
09X274,The New American Academy At Roberto Clemente State Park,36%,87%,90%,93%,90%,91%,93%,90%,89%,90%,87%,92%,89%,91%,91%,94%,92%,96%,90%,,,,,,,,,,,,
09X276,Leadership Institute,1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
09X294,The Walton Avenue School,77%,97%,98%,99%,99%,98%,99%,98%,99%,98%,99%,97%,99%,98%,98%,99%,98%,99%,94%,,,,,,,,,,,,
09X297,Morris Academy For Collaborative Studies,30%,93%,95%,98%,96%,98%,98%,98%,99%,99%,96%,98%,97%,97%,98%,96%,97%,97%,83%,,,,,,,,,,,,
09X303,I.S. X303 Leadership & Community Service,92%,92%,91%,96%,97%,97%,97%,95%,97%,96%,96%,97%,96%,98%,96%,98%,97%,98%,85%,,,,,,,,,,,,
09X311,Lucero Elementary School,95%,94%,92%,97%,95%,96%,96%,95%,95%,96%,94%,95%,94%,95%,94%,97%,95%,97%,90%,,,,,,,,,,,,
09X313,I.S. 313 School Of Leadership Development,47%,78%,84%,92%,83%,88%,92%,89%,88%,90%,88%,88%,92%,90%,88%,94%,93%,93%,81%,,,,,,,,,,,,
09X323,Bronx Writing Academy,36%,89%,89%,96%,94%,97%,95%,95%,94%,93%,93%,94%,98%,96%,92%,94%,91%,95%,89%,,,,,,,,,,,,
09X324,Bronx Early College Academy For Teaching & Learning,48%,88%,90%,96%,94%,95%,92%,90%,88%,94%,86%,96%,83%,84%,95%,97%,97%,96%,81%,,,,,,,,,,,,
09X325,Urban Science Academy,85%,97%,99%,100%,100%,100%,98%,98%,99%,99%,98%,99%,98%,98%,97%,98%,98%,99%,98%,,,,,,,,,,,,
09X327,Comprehensive Model School Project M.S. 327,41%,82%,87%,96%,93%,97%,97%,94%,96%,93%,92%,92%,95%,95%,94%,94%,96%,95%,84%,,,,,,,,,,,,
09X328,New Millennium Business Academy Middle School,71%,87%,89%,96%,90%,91%,96%,93%,93%,94%,95%,91%,96%,93%,93%,95%,94%,92%,84%,,,,,,,,,,,,
09X329,Dreamyard Preparatory School,64%,96%,94%,97%,96%,96%,95%,97%,95%,97%,95%,97%,98%,99%,95%,95%,97%,97%,90%,,,,,,,,,,,,
09X339,I.S. 339,59%,90%,90%,95%,94%,95%,95%,95%,94%,96%,95%,95%,97%,97%,94%,94%,95%,94%,91%,,,,,,,,,,,,
09X350,New Directions Secondary School,13%,89%,92%,92%,96%,100%,100%,93%,100%,96%,92%,92%,92%,96%,83%,100%,88%,91%,79%,,,,,,,,,,,,
09X361,The Highbridge Green School,94%,97%,96%,96%,96%,97%,98%,96%,97%,98%,97%,98%,98%,98%,98%,97%,98%,98%,88%,,,,,,,,,,,,
09X365,Academy For Language And Technology,94%,86%,83%,96%,91%,94%,93%,92%,94%,92%,91%,94%,90%,92%,96%,95%,95%,93%,86%,,,,,,,,,,,,
09X403,Bronx International High School,60%,89%,87%,94%,92%,94%,95%,95%,93%,94%,95%,93%,98%,97%,95%,95%,97%,96%,86%,,,,,,,,,,,,
09X404,School For Excellence,6%,90%,85%,95%,95%,95%,95%,95%,100%,90%,90%,100%,100%,95%,95%,95%,100%,100%,74%,,,,,,,,,,,,
09X412,Bronx High School Of Business,25%,89%,86%,93%,90%,95%,97%,97%,95%,94%,95%,96%,96%,94%,88%,98%,98%,96%,83%,,,,,,,,,,,,
09X413,Bronx High School For Medical Science,24%,97%,96%,99%,98%,98%,98%,97%,97%,97%,43%,97%,44%,42%,97%,97%,98%,97%,89%,,,,,,,,,,,,
09X443,The Family School,77%,95%,98%,99%,97%,98%,99%,97%,96%,97%,97%,95%,96%,97%,98%,96%,96%,96%,89%,,,,,,,,,,,,
09X449,Grant Avenue Elementary School,82%,94%,94%,95%,95%,96%,96%,95%,95%,96%,94%,96%,96%,97%,96%,96%,95%,96%,93%,,,,,,,,,,,,
09X454,Science And Technology Academy: A Mott Hall School,66%,92%,92%,97%,94%,98%,96%,96%,97%,94%,95%,96%,96%,95%,97%,95%,95%,95%,86%,,,,,,,,,,,,
09X457,Sheridan Academy For Young Leaders,72%,94%,94%,97%,94%,96%,95%,95%,95%,96%,93%,96%,95%,96%,97%,98%,97%,99%,91%,,,,,,,,,,,,
09X505,"Bronx School For Law, Government And Justice",69%,86%,88%,96%,92%,96%,94%,93%,92%,93%,90%,90%,92%,91%,94%,93%,93%,95%,83%,,,,,,,,,,,,
09X517,Frederick Douglass Academy Iii Secondary School,49%,84%,82%,91%,87%,88%,89%,92%,91%,87%,91%,92%,92%,90%,91%,95%,95%,96%,83%,,,,,,,,,,,,
09X525,Bronx Leadership Academy High School,25%,97%,97%,98%,98%,98%,99%,98%,97%,100%,98%,99%,98%,98%,99%,100%,97%,98%,97%,,,,,,,,,,,,
09X543,High School For Violin And Dance,17%,71%,71%,98%,79%,98%,93%,81%,88%,88%,77%,88%,82%,89%,85%,88%,80%,89%,72%,,,,,,,,,,,,
09X555,Mount Eden Children'S Academy,79%,97%,99%,99%,98%,99%,98%,98%,97%,98%,97%,98%,97%,96%,98%,97%,98%,98%,95%,,,,,,,,,,,,
09X564,Claremont International Hs,58%,92%,93%,98%,98%,97%,98%,97%,97%,97%,97%,95%,94%,94%,97%,98%,98%,99%,88%,,,,,,,,,,,,
09X568,Young Women'S Leadership School Of The Bronx,69%,90%,88%,94%,89%,95%,94%,93%,92%,92%,93%,91%,95%,95%,92%,92%,95%,94%,86%,,,,,,,,,,,,
10X003,P.S. 3 Raul Julia Micro Society,61%,93%,95%,96%,97%,98%,96%,95%,95%,97%,95%,96%,96%,97%,100%,98%,95%,94%,93%,,,,,,,,,,,,
10X007,Milton Fein School,75%,93%,95%,98%,95%,98%,96%,96%,96%,98%,94%,96%,96%,97%,98%,97%,98%,98%,89%,,,,,,,,,,,,
10X008,P.S. 008 Isaac Varian,34%,90%,95%,98%,95%,96%,96%,94%,94%,95%,94%,94%,94%,95%,94%,98%,98%,98%,88%,,,,,,,,,,,,
10X009,P.S. 9 Ryer Avenue Elementary School,39%,89%,93%,97%,92%,95%,94%,92%,92%,95%,93%,93%,94%,94%,93%,95%,95%,97%,88%,,,,,,,,,,,,
10X015,P.S. X015 Institute For Environmental Learning,61%,93%,93%,96%,95%,95%,97%,96%,97%,96%,93%,96%,97%,97%,97%,95%,95%,96%,90%,,,,,,,,,,,,
10X020,"P.S./M.S. 20 P.O.George J. Werdann, Iii",71%,86%,92%,96%,87%,93%,89%,88%,87%,92%,86%,90%,87%,88%,93%,89%,92%,94%,83%,,,,,,,,,,,,
10X023,P.S. 023 The New Children'S School,42%,96%,95%,98%,97%,99%,96%,94%,94%,97%,93%,96%,97%,97%,97%,98%,97%,97%,92%,,,,,,,,,,,,
10X024,P.S. 024 Spuyten Duyvil,39%,77%,85%,93%,79%,88%,81%,78%,77%,90%,87%,84%,79%,76%,94%,83%,87%,89%,94%,,,,,,,,,,,,
10X032,P.S. 032 Belmont,63%,90%,94%,98%,93%,97%,97%,95%,95%,96%,93%,97%,96%,95%,96%,95%,95%,96%,89%,,,,,,,,,,,,
10X033,P.S. 033 Timothy Dwight,71%,84%,88%,93%,87%,92%,89%,88%,87%,92%,85%,88%,89%,88%,90%,89%,91%,93%,84%,,,,,,,,,,,,
10X037,P.S. X037 - Multiple Intelligence School,56%,95%,97%,97%,97%,97%,97%,96%,97%,96%,96%,96%,99%,96%,98%,98%,97%,98%,94%,,,,,,,,,,,,
10X045,Thomas C. Giordano Middle School 45,31%,85%,84%,94%,91%,93%,93%,90%,91%,94%,94%,94%,90%,91%,89%,97%,95%,97%,77%,,,,,,,,,,,,
10X046,P.S. 046 Edgar Allan Poe,51%,88%,93%,97%,85%,95%,92%,92%,90%,95%,89%,90%,90%,91%,90%,90%,95%,97%,87%,,,,,,,,,,,,
10X051,P.S. 051 Bronx New School,86%,92%,96%,98%,95%,95%,94%,93%,94%,95%,97%,94%,95%,96%,97%,99%,99%,100%,95%,,,,,,,,,,,,
10X054,P.S./I.S. 54,100%,97%,97%,98%,98%,98%,98%,98%,98%,97%,98%,97%,98%,97%,97%,98%,98%,99%,91%,,,,,,,,,,,,
10X056,P.S. 056 Norwood Heights,74%,95%,96%,98%,97%,97%,99%,98%,98%,96%,98%,96%,97%,97%,97%,97%,97%,97%,86%,,,,,,,,,,,,
10X059,P.S. 059 The Community School Of Technology,100%,97%,97%,98%,97%,98%,97%,97%,97%,98%,97%,98%,97%,97%,97%,98%,97%,98%,97%,,,,,,,,,,,,
10X077,Bedford Park Elementary School,82%,94%,92%,97%,94%,97%,95%,95%,95%,95%,94%,95%,95%,96%,96%,97%,95%,96%,88%,,,,,,,,,,,,
10X080,J.H.S. 080 The Mosholu Parkway,61%,91%,91%,97%,94%,97%,96%,95%,95%,94%,94%,95%,95%,94%,95%,94%,95%,95%,92%,,,,,,,,,,,,
10X081,P.S. 081 Robert J. Christen,100%,96%,96%,99%,97%,98%,97%,96%,96%,97%,97%,94%,96%,96%,97%,97%,97%,99%,92%,,,,,,,,,,,,
10X085,P.S. 085 Great Expectations,45%,90%,92%,98%,92%,97%,96%,94%,95%,96%,92%,94%,95%,95%,94%,93%,92%,95%,91%,,,,,,,,,,,,
10X086,P.S. 086 Kingsbridge Heights,60%,95%,96%,97%,96%,97%,97%,97%,96%,96%,96%,95%,95%,96%,96%,97%,97%,97%,90%,,,,,,,,,,,,
10X091,P.S. 091 Bronx,50%,91%,93%,98%,92%,96%,93%,92%,93%,94%,91%,94%,93%,93%,96%,95%,96%,97%,88%,,,,,,,,,,,,
10X094,P.S. 094 Kings College School,41%,89%,92%,97%,92%,98%,97%,94%,94%,97%,92%,94%,95%,97%,95%,97%,96%,97%,88%,,,,,,,,,,,,
10X095,P.S. 095 Sheila Mencher,85%,95%,96%,97%,96%,97%,97%,97%,97%,94%,96%,94%,96%,96%,94%,95%,96%,96%,92%,,,,,,,,,,,,
10X118,J.H.S. 118 William W. Niles,34%,82%,84%,94%,91%,96%,94%,92%,92%,93%,93%,92%,94%,92%,91%,94%,94%,94%,82%,,,,,,,,,,,,
10X141,Riverdale / Kingsbridge Academy (Middle School / High School 141),20%,84%,86%,98%,91%,93%,93%,93%,91%,96%,94%,88%,93%,92%,95%,95%,96%,98%,92%,,,,,,,,,,,,
10X159,P.S. 159 Luis Munoz Marin Biling,98%,98%,98%,99%,99%,99%,99%,99%,100%,100%,100%,100%,97%,97%,100%,99%,99%,97%,89%,,,,,,,,,,,,
10X205,P.S. 205 Fiorello Laguardia,74%,91%,94%,97%,93%,97%,97%,94%,94%,95%,95%,95%,96%,96%,95%,96%,96%,97%,87%,,,,,,,,,,,,
10X206,I.S. 206 Ann Mersereau,100%,98%,98%,99%,98%,100%,100%,99%,99%,100%,97%,99%,98%,98%,99%,100%,99%,99%,93%,,,,,,,,,,,,
10X207,P.S. 207,69%,94%,95%,99%,94%,98%,96%,94%,94%,98%,95%,93%,95%,97%,97%,89%,93%,96%,86%,,,,,,,,,,,,
10X209,P.S. 209,83%,95%,96%,97%,96%,96%,95%,96%,95%,96%,95%,96%,94%,94%,98%,96%,96%,96%,93%,,,,,,,,,,,,
10X213,Bronx Engineering And Technology Academy,64%,78%,84%,83%,82%,82%,83%,80%,76%,84%,81%,83%,87%,83%,82%,85%,86%,87%,76%,,,,,,,,,,,,
10X225,Theatre Arts Production Company School,35%,85%,87%,94%,88%,95%,92%,91%,90%,90%,91%,91%,92%,92%,91%,93%,90%,90%,85%,,,,,,,,,,,,
10X226,P.S. 226,58%,92%,93%,96%,93%,95%,93%,90%,91%,95%,90%,94%,92%,90%,95%,93%,93%,95%,87%,,,,,,,,,,,,
10X228,Jonas Bronck Academy,96%,95%,92%,97%,97%,97%,97%,95%,96%,96%,96%,93%,96%,97%,97%,97%,98%,98%,88%,,,,,,,,,,,,
10X237,"The Marie Curie School For Medicine, Nursing, And Health Professions",15%,92%,86%,96%,89%,92%,92%,93%,96%,94%,91%,95%,95%,95%,94%,93%,93%,93%,84%,,,,,,,,,,,,
10X243,West Bronx Academy For The Future,25%,74%,81%,93%,83%,95%,92%,89%,89%,90%,92%,88%,92%,91%,87%,90%,91%,91%,83%,,,,,,,,,,,,
10X244,The New School For Leadership And Journalism,60%,96%,98%,99%,97%,98%,98%,98%,98%,99%,98%,98%,98%,99%,97%,98%,99%,99%,94%,,,,,,,,,,,,
10X246,P.S. 246 Poe Center,33%,89%,94%,97%,95%,96%,95%,95%,95%,96%,95%,94%,96%,96%,96%,98%,97%,98%,91%,,,,,,,,,,,,
10X254,I.S. 254,54%,95%,95%,98%,97%,98%,98%,97%,97%,97%,97%,96%,96%,96%,96%,97%,97%,97%,90%,,,,,,,,,,,,
10X264,Bronx Academy For Software Engineering (Base),14%,81%,89%,97%,97%,98%,96%,98%,95%,98%,98%,93%,98%,95%,100%,98%,96%,98%,85%,,,,,,,,,,,,
10X268,Kingsbridge International High School,74%,85%,87%,96%,93%,93%,96%,93%,93%,93%,92%,90%,91%,92%,94%,93%,92%,91%,82%,,,,,,,,,,,,
10X279,"P.S. 279 Captain Manuel Rivera, Jr.",76%,92%,93%,97%,94%,97%,97%,96%,97%,94%,95%,94%,95%,95%,95%,97%,96%,96%,88%,,,,,,,,,,,,
10X280,P.S./M.S. 280 Mosholu Parkway,56%,93%,95%,98%,94%,97%,94%,94%,95%,97%,95%,97%,94%,96%,98%,99%,97%,98%,90%,,,,,,,,,,,,
10X284,Bronx School Of Law And Finance,15%,83%,86%,92%,88%,92%,92%,90%,88%,90%,88%,88%,92%,92%,82%,92%,94%,93%,78%,,,,,,,,,,,,
10X291,P.S. 291,100%,98%,98%,99%,98%,99%,99%,99%,98%,99%,99%,98%,99%,98%,99%,99%,99%,98%,98%,,,,,,,,,,,,
10X306,P.S. 306,69%,91%,91%,96%,92%,95%,96%,94%,94%,93%,94%,93%,94%,95%,95%,94%,93%,94%,89%,,,,,,,,,,,,
10X307,Luisa Pineiro Fuentes School Of Science And Discovery,95%,92%,93%,97%,95%,97%,96%,95%,95%,94%,95%,94%,96%,96%,95%,96%,94%,94%,90%,,,,,,,,,,,,
10X308,Bronx Dance Academy School,31%,84%,84%,95%,87%,95%,95%,90%,86%,94%,86%,94%,94%,91%,97%,94%,98%,97%,84%,,,,,,,,,,,,
10X310,P.S. 310 Marble Hill,79%,92%,93%,97%,93%,97%,95%,94%,94%,96%,92%,95%,96%,96%,97%,96%,96%,96%,90%,,,,,,,,,,,,
10X315,P.S. 315 Lab School,71%,95%,97%,97%,97%,99%,98%,97%,97%,96%,96%,95%,96%,96%,98%,97%,97%,97%,91%,,,,,,,,,,,,
10X319,Providing Urban Learners Success In Education High School,7%,77%,67%,92%,85%,92%,85%,77%,85%,91%,85%,77%,82%,62%,91%,100%,92%,91%,85%,,,,,,,,,,,,
10X331,The Bronx School Of Young Leaders,48%,94%,95%,98%,93%,96%,97%,96%,95%,96%,97%,96%,96%,95%,97%,98%,96%,98%,89%,,,,,,,,,,,,
10X340,P.S. 340,73%,94%,96%,97%,96%,98%,96%,96%,96%,96%,94%,97%,95%,96%,97%,97%,96%,97%,90%,,,,,,,,,,,,
10X342,International School For Liberal Arts,90%,88%,91%,93%,90%,94%,94%,93%,93%,91%,93%,96%,93%,96%,95%,92%,94%,95%,84%,,,,,,,,,,,,
10X344,Ampark Neighborhood,78%,94%,93%,98%,96%,97%,97%,94%,95%,96%,96%,93%,96%,97%,98%,98%,96%,98%,93%,,,,,,,,,,,,
10X351,Bronx Collaborative High School,15%,86%,91%,97%,92%,97%,95%,89%,89%,90%,90%,95%,93%,90%,92%,95%,98%,98%,87%,,,,,,,,,,,,
10X353,World View High School,39%,89%,92%,97%,96%,94%,96%,96%,96%,93%,95%,93%,93%,96%,94%,96%,96%,97%,83%,,,,,,,,,,,,
10X360,P.S. 360,72%,87%,92%,96%,91%,97%,90%,90%,88%,95%,87%,90%,89%,87%,93%,94%,89%,94%,86%,,,,,,,,,,,,
10X363,Academy For Personal Leadership And Excellence,77%,90%,92%,97%,94%,94%,96%,96%,97%,96%,95%,94%,95%,97%,97%,95%,96%,95%,86%,,,,,,,,,,,,
10X368,In-Tech Academy (M.S. / High School 368),32%,86%,84%,95%,89%,94%,95%,95%,94%,91%,94%,92%,95%,94%,95%,93%,92%,95%,79%,,,,,,,,,,,,
10X374,Knowledge And Power Preparatory Academy International High School (Kappa),72%,91%,95%,98%,95%,96%,97%,97%,96%,96%,94%,95%,96%,95%,94%,98%,96%,98%,82%,,,,,,,,,,,,
10X382,"Elementary School For Math, Science, And Technology",94%,95%,96%,98%,94%,97%,96%,95%,93%,97%,94%,93%,94%,94%,97%,92%,98%,98%,94%,,,,,,,,,,,,
10X386,School For Environmental Citizenship,72%,92%,95%,96%,93%,95%,97%,93%,94%,95%,95%,94%,94%,96%,95%,95%,96%,96%,84%,,,,,,,,,,,,
10X390,M.S. 390,73%,96%,95%,97%,97%,97%,97%,97%,97%,96%,96%,96%,97%,97%,92%,97%,97%,98%,94%,,,,,,,,,,,,
10X391,The Angelo Patri Middle School,58%,93%,96%,97%,96%,96%,98%,96%,96%,95%,97%,93%,94%,93%,93%,96%,95%,97%,90%,,,,,,,,,,,,
10X396,P.S. 396,46%,97%,97%,97%,97%,97%,95%,95%,92%,97%,94%,97%,97%,97%,95%,96%,98%,98%,87%,,,,,,,,,,,,
10X397,English Language Learners And International Support Preparatory Academy (Ellis),11%,92%,92%,92%,92%,92%,92%,97%,94%,91%,95%,86%,94%,85%,91%,94%,97%,91%,84%,,,,,,,,,,,,
10X433,High School For Teaching And The Professions,28%,91%,94%,98%,92%,97%,97%,93%,96%,94%,95%,95%,93%,95%,93%,93%,94%,95%,82%,,,,,,,,,,,,
10X434,Belmont Preparatory High School,56%,88%,94%,98%,92%,97%,97%,96%,97%,97%,94%,97%,96%,95%,97%,97%,98%,98%,87%,,,,,,,,,,,,
10X437,Fordham High School For The Arts,20%,91%,94%,99%,96%,97%,96%,95%,94%,94%,94%,95%,98%,95%,98%,99%,97%,98%,94%,,,,,,,,,,,,
10X438,Fordham Leadership Academy For Business And Technology,52%,94%,94%,97%,93%,96%,94%,96%,95%,97%,96%,95%,95%,95%,93%,97%,95%,97%,87%,,,,,,,,,,,,
10X439,Bronx High School For Law And Community Service,32%,84%,86%,95%,91%,93%,92%,93%,92%,93%,89%,91%,93%,88%,93%,95%,96%,97%,80%,,,,,,,,,,,,
10X440,Dewitt Clinton High School,15%,76%,72%,90%,83%,91%,89%,86%,83%,85%,83%,83%,90%,87%,89%,82%,80%,84%,84%,,,,,,,,,,,,
10X442,"Celia Cruz Bronx High School Of Music, The",46%,85%,87%,95%,90%,97%,93%,95%,93%,90%,89%,92%,94%,94%,94%,97%,95%,96%,82%,,,,,,,,,,,,
10X445,Bronx High School Of Science,39%,87%,83%,98%,92%,96%,96%,96%,94%,95%,96%,91%,96%,96%,96%,97%,98%,96%,86%,,,,,,,,,,,,
10X447,Creston Academy,95%,95%,96%,97%,96%,98%,97%,98%,97%,97%,98%,97%,97%,97%,97%,98%,98%,98%,88%,,,,,,,,,,,,
10X459,East Fordham Academy For The Arts,32%,95%,91%,93%,92%,96%,95%,94%,93%,93%,94%,91%,93%,94%,88%,96%,91%,93%,92%,,,,,,,,,,,,
10X477,Marble Hill High School For International Studies,63%,90%,92%,95%,93%,96%,96%,95%,95%,92%,95%,93%,94%,93%,95%,97%,98%,95%,73%,,,,,,,,,,,,
10X503,Walton Yabc,16%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,,,,,,,,,,,,
10X504,Kennedy Yabc,16%,89%,88%,100%,100%,94%,94%,94%,94%,94%,94%,100%,100%,100%,100%,94%,93%,100%,56%,,,,,,,,,,,,
10X524,Crotona International High School,55%,89%,87%,95%,94%,93%,95%,93%,91%,93%,93%,93%,91%,89%,95%,94%,90%,91%,73%,,,,,,,,,,,,
10X546,Bronx Theatre High School,27%,79%,83%,93%,88%,92%,90%,77%,81%,90%,74%,91%,81%,81%,93%,94%,87%,94%,71%,,,,,,,,,,,,
10X549,Discovery High School,17%,99%,97%,99%,99%,99%,97%,97%,96%,99%,99%,99%,99%,96%,99%,99%,99%,99%,99%,,,,,,,,,,,,
10X565,High School For Energy And Technology,35%,87%,85%,93%,90%,91%,88%,86%,85%,90%,84%,89%,92%,91%,94%,94%,93%,94%,79%,,,,,,,,,,,,
10X668,Dewitt Clinton Campus Yabc,67%,71%,85%,84%,78%,82%,80%,84%,82%,98%,82%,80%,91%,87%,82%,96%,94%,92%,93%,,,,,,,,,,,,
10X696,High School Of American Studies At Lehman College,49%,93%,92%,99%,96%,98%,99%,97%,99%,96%,98%,93%,97%,95%,98%,98%,97%,97%,97%,,,,,,,,,,,,
11X016,P.S. 016 Wakefield,27%,91%,94%,97%,89%,96%,86%,80%,81%,95%,85%,91%,80%,87%,92%,94%,90%,99%,89%,,,,,,,,,,,,
11X019,P.S. 019 Judith K. Weiss,38%,84%,88%,95%,89%,97%,93%,94%,94%,93%,91%,91%,93%,90%,97%,95%,92%,94%,90%,,,,,,,,,,,,
11X021,P.S. 021 Philip H. Sheridan,27%,80%,88%,95%,83%,90%,90%,89%,87%,90%,87%,91%,85%,85%,89%,87%,89%,91%,89%,,,,,,,,,,,,
